student_id,studied_course,Background,interested,Hour_week,Study_Materials,Practical_Work,Alone_Study,Sleep_hours,Soc_Activ,stressed_anx,Exp_GPA,Curr_GPA
20,Linear Algebra,Mathematics,1,0,Internet Resources(Videos Articles):Notes:Books-Out Of Course,No,No,8,Volunteering Work:Fishing:Sports:Modelling,Yes,3,1
21,Databases,History,7,4,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course:Notes,Yes,No,4,Fishing:Volunteering Work:Programming:Modelling:Sports:Friend Circle in the University,No,2,1.5
22,Mandarin,Computer Science,8,8,Notes:Books-Out Of Course:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),NA,Yes,2,Volunteering Work:Modelling:Sports,Yes,2,1.5
23,Mandarin,Biology,2,5,Books-Out Of Course:Lecture Slides:Books-Recommended,NA,Yes,0,Fishing:Volunteering Work:Modelling:Friend Circle in the University:Sports:Programming,No,3,2
24,Probability and Statistics,Mathematics,10,3,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,NA,Yes,10+,Modelling:Programming:Volunteering Work:Fishing:Sports,Yes,3,1.5
25,Mandarin,Languages,10,2,Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,No,No,5,Programming:Friend Circle in the University,Yes,4,1
26,Biochemistry,Mathematics,6,4,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes,Prefer not to Say,Yes,10+,Sports,Yes,4,3.5
27,Databases,Languages,10,10+,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),No,No,8,Volunteering Work:Modelling,No,1,2
28,Latin,Chemistry,8,0,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,NA,No,4,Sports:Volunteering Work:Fishing:Modelling:Friend Circle in the University,Yes,3,4
29,Functional Programming,History,10,8,Lecture Slides:Notes:Books-Recommended,Yes,Yes,10+,Volunteering Work,No,1,1.5
30,Genetics,Biology,8,6,Lecture Slides,No,Yes,8,Programming:Fishing:Volunteering Work:Friend Circle in the University,Yes,2,2.5
31,Probability and Statistics,History,10,6,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Yes,No,10+,Fishing:Programming:Volunteering Work:Sports:Friend Circle in the University,Yes,1,2
32,Organic Chemistry,Computer Science,0,2,Internet Resources(Videos Articles):Notes,NA,No,7,Friend Circle in the University:Sports:Programming,Yes,3,2
33,Linear Algebra,Languages,9,7,Internet Resources(Videos Articles):Books-Recommended,No,No,6,Modelling:Sports:Programming:Friend Circle in the University,No,2,1
34,Organic Chemistry,Mathematics,8,4,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Prefer not to Say,Yes,8,Sports:Volunteering Work:Friend Circle in the University:Modelling:Fishing,Yes,4,1.5
35,Databases,Languages,7,8,Notes:Books-Out Of Course:Lecture Slides:Books-Recommended,NA,No,8,Sports:Fishing:Volunteering Work:Friend Circle in the University:Programming,Yes,4,3
36,Genetics,Chemistry,5,3,Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course,Yes,Yes,9,Sports:Volunteering Work:Modelling:Programming:Friend Circle in the University:Fishing,Yes,2,4
37,Genetics,Chemistry,4,5,Books-Recommended:Notes:Lecture Slides,Yes,Yes,6,Sports:Fishing:Programming:Friend Circle in the University,Yes,2,1
38,Mandarin,Mathematics,8,2,Books-Out Of Course,Yes,Yes,5,Friend Circle in the University:Modelling,Yes,4,3
39,Functional Programming,Biology,2,2,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,7,Modelling:Fishing:Volunteering Work:Sports,Yes,3,1.5
40,Probability and Statistics,Languages,10,2,Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,4,Volunteering Work:Modelling:Fishing:Sports:Programming:Friend Circle in the University,No,3,1.5
41,Databases,Mathematics,1,4,Lecture Slides:Books-Out Of Course:Notes,No,No,2,Programming:Volunteering Work:Modelling:Friend Circle in the University:Sports:Fishing,No,3,4
42,Genetics,Mathematics,0,0,Internet Resources(Videos Articles):Books-Recommended,NA,No,8,Fishing:Friend Circle in the University,No,3,1
43,Mandarin,Mathematics,1,7,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes,NA,Yes,3,Friend Circle in the University:Programming:Sports:Modelling:Volunteering Work,No,2,1.5
44,Mandarin,Biology,10,4,Internet Resources(Videos Articles),Yes,Yes,0,Sports:Friend Circle in the University:Fishing,No,2,1
45,Linear Algebra,Mathematics,4,10+,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes,No,Yes,3,Sports,Yes,2,4
46,Linear Algebra,Mathematics,4,8,Books-Out Of Course:Notes,No,No,8,Friend Circle in the University:Volunteering Work:Sports:Programming,Yes,4,1.5
47,Mandarin,Languages,8,8,Internet Resources(Videos Articles),No,Yes,9,Modelling:Sports:Fishing:Volunteering Work:Programming:Friend Circle in the University,Yes,1,3
48,Biochemistry,History,6,8,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Notes,NA,No,1,Volunteering Work,Yes,2,1
49,Genetics,Mathematics,8,5,Books-Recommended:Notes,Yes,No,0,Volunteering Work:Friend Circle in the University,Yes,4,3
50,Functional Programming,History,8,6,Internet Resources(Videos Articles):Books-Recommended,NA,No,3,Fishing:Friend Circle in the University:Programming:Sports:Modelling:Volunteering Work,Yes,4,1
51,Organic Chemistry,Languages,2,8,Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,5,Sports,No,2,4
52,Probability and Statistics,Mathematics,7,7,Books-Out Of Course:Notes:Internet Resources(Videos Articles),Yes,Yes,10+,Modelling:Friend Circle in the University:Volunteering Work:Sports:Programming:Fishing,No,3,2.5
53,English,Chemistry,8,9,Books-Out Of Course,No,No,1,Fishing:Sports:Programming:Modelling:Friend Circle in the University,No,4,3.5
54,Organic Chemistry,Biology,10,3,Books-Recommended:Notes:Internet Resources(Videos Articles),Prefer not to Say,No,3,Friend Circle in the University:Modelling:Fishing:Sports,Yes,3,1
55,Linear Algebra,History,9,2,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,Yes,No,7,Fishing,Yes,4,1
56,Latin,Mathematics,6,1,Lecture Slides,No,No,2,Friend Circle in the University:Fishing:Volunteering Work:Programming:Sports:Modelling,No,4,3
57,English,History,5,7,Notes:Books-Out Of Course:Lecture Slides,No,No,5,Modelling:Volunteering Work,No,4,3.5
58,Biochemistry,Languages,9,5,Books-Out Of Course,NA,No,1,Friend Circle in the University:Volunteering Work:Modelling,No,1,3
59,Organic Chemistry,Languages,2,5,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes:Books-Recommended,Yes,Yes,9,Programming:Volunteering Work:Fishing,No,1,2.5
60,Mandarin,History,0,2,Books-Out Of Course,Yes,No,10+,Programming:Volunteering Work:Modelling,Yes,4,2.5
61,Latin,Computer Science,1,3,Notes:Lecture Slides:Books-Recommended,Prefer not to Say,Yes,7,Fishing:Programming:Volunteering Work,No,2,2
62,Organic Chemistry,Biology,6,5,Notes:Books-Recommended:Books-Out Of Course,No,Yes,9,Sports:Modelling:Friend Circle in the University:Volunteering Work:Fishing:Programming,Yes,3,1
63,Genetics,Languages,6,1,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),NA,No,1,Fishing:Volunteering Work:Friend Circle in the University:Programming:Modelling,Yes,4,1
64,Biochemistry,Chemistry,10,9,Books-Recommended:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),NA,Yes,6,Sports:Modelling:Programming:Fishing:Friend Circle in the University:Volunteering Work,Yes,1,1.5
65,Functional Programming,Mathematics,10,6,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides,Prefer not to Say,Yes,2,Friend Circle in the University:Volunteering Work,No,4,4
66,Databases,Chemistry,9,1,Internet Resources(Videos Articles),No,No,8,Fishing:Programming:Sports,Yes,2,2.5
67,Databases,Chemistry,7,6,Books-Out Of Course:Lecture Slides,NA,No,1,Modelling:Programming:Fishing:Friend Circle in the University:Volunteering Work:Sports,Yes,3,1
68,Probability and Statistics,Biology,0,2,Lecture Slides:Books-Recommended,No,Yes,0,Programming:Sports:Friend Circle in the University:Fishing:Modelling,Yes,1,2.5
69,English,Languages,2,2,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,5,Modelling,No,1,3.5
70,Functional Programming,Biology,4,6,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended,No,No,3,Friend Circle in the University:Volunteering Work:Fishing:Modelling,Yes,2,1
71,Linear Algebra,History,6,8,Books-Recommended,NA,Yes,1,Sports,Yes,2,4
72,Mandarin,Biology,1,0,Lecture Slides:Books-Out Of Course,Yes,Yes,8,Programming:Friend Circle in the University:Fishing:Volunteering Work:Sports,No,1,2.5
73,Latin,Languages,9,1,Lecture Slides:Notes:Internet Resources(Videos Articles),Prefer not to Say,No,8,Modelling:Friend Circle in the University,Yes,3,3.5
74,Functional Programming,Biology,6,3,Books-Recommended,No,No,1,Sports:Programming:Volunteering Work:Modelling,Yes,2,1.5
75,Latin,Computer Science,3,7,Lecture Slides:Books-Recommended,NA,No,4,Fishing,No,2,2
76,Biochemistry,Languages,6,2,Books-Out Of Course:Lecture Slides:Notes:Books-Recommended,NA,No,8,Volunteering Work:Modelling:Friend Circle in the University:Programming:Sports,No,4,3
77,Latin,Mathematics,9,6,Notes:Internet Resources(Videos Articles),Yes,Yes,10+,Sports:Fishing:Volunteering Work:Programming,Yes,2,3
78,Organic Chemistry,Computer Science,8,4,Lecture Slides,Prefer not to Say,No,0,Friend Circle in the University:Fishing:Modelling:Programming,Yes,3,2.5
79,Latin,Languages,8,2,Books-Recommended:Notes:Internet Resources(Videos Articles),No,No,1,Programming:Modelling:Friend Circle in the University,Yes,3,3.5
80,Functional Programming,Mathematics,1,8,Notes:Books-Recommended:Books-Out Of Course,NA,No,3,Programming:Modelling,Yes,3,2
81,Linear Algebra,History,3,2,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),Yes,Yes,3,Fishing:Programming:Sports:Volunteering Work:Friend Circle in the University:Modelling,Yes,2,2.5
82,Genetics,Languages,10,0,Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,Yes,Yes,10+,Programming:Friend Circle in the University,Yes,3,4
83,Mandarin,History,1,9,Notes:Lecture Slides,Yes,Yes,3,Volunteering Work:Fishing:Programming,Yes,2,3
84,Biochemistry,Languages,5,0,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Recommended,NA,Yes,10+,Sports:Volunteering Work:Modelling:Friend Circle in the University,No,1,3.5
85,Biochemistry,Biology,9,4,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,NA,Yes,7,Friend Circle in the University:Fishing:Sports:Programming,No,1,1
86,Organic Chemistry,Biology,1,6,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),NA,Yes,4,Friend Circle in the University:Fishing:Modelling:Volunteering Work:Sports:Programming,Yes,2,1.5
87,Biochemistry,History,1,1,Lecture Slides,No,No,9,Programming:Volunteering Work:Friend Circle in the University:Modelling,Yes,4,4
88,Latin,Mathematics,10,0,Lecture Slides,NA,No,3,Friend Circle in the University:Sports,Yes,4,2
89,English,Chemistry,10,2,Books-Recommended,Prefer not to Say,Yes,8,Friend Circle in the University:Fishing:Sports,No,2,2.5
90,Mandarin,Mathematics,1,0,Books-Out Of Course:Notes:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),Prefer not to Say,Yes,4,Volunteering Work:Fishing:Sports:Programming:Modelling:Friend Circle in the University,Yes,2,2.5
91,Organic Chemistry,Languages,4,7,Notes:Books-Out Of Course:Lecture Slides,NA,No,9,Friend Circle in the University:Fishing:Programming:Modelling:Sports:Volunteering Work,Yes,4,1
92,Databases,Mathematics,0,6,Books-Recommended,No,Yes,2,Modelling:Fishing,Yes,2,3.5
93,Linear Algebra,Mathematics,9,9,Lecture Slides:Books-Recommended,Yes,Yes,7,Programming:Modelling:Friend Circle in the University,No,3,3
94,Functional Programming,Biology,1,1,Notes:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,7,Modelling:Friend Circle in the University,No,2,2.5
95,Mandarin,Biology,5,4,Books-Out Of Course:Notes:Lecture Slides,No,No,4,Programming,No,4,2.5
96,Mandarin,Chemistry,9,5,Books-Recommended:Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,No,6,Volunteering Work:Modelling:Friend Circle in the University:Programming:Fishing:Sports,Yes,4,1
97,Linear Algebra,Languages,1,9,Notes:Lecture Slides,Prefer not to Say,No,7,Fishing,Yes,2,3.5
98,Organic Chemistry,Chemistry,1,5,Internet Resources(Videos Articles),No,Yes,0,Friend Circle in the University,Yes,4,3
99,Probability and Statistics,Chemistry,10,3,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles):Notes,Prefer not to Say,Yes,9,Modelling:Friend Circle in the University:Programming:Sports:Fishing,Yes,3,1.5
100,Mandarin,Biology,6,10+,Books-Recommended,Prefer not to Say,Yes,5,Fishing:Friend Circle in the University,Yes,2,2
101,Functional Programming,Computer Science,2,10+,Lecture Slides,No,Yes,8,Modelling:Programming,Yes,4,3
102,Biochemistry,Mathematics,7,8,Internet Resources(Videos Articles),NA,No,10+,Programming,Yes,4,2.5
103,Organic Chemistry,Mathematics,9,2,Lecture Slides:Books-Out Of Course,No,No,8,Sports:Volunteering Work:Friend Circle in the University:Modelling,No,2,3.5
104,Genetics,Biology,8,9,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,NA,No,6,Modelling:Programming:Friend Circle in the University:Fishing:Sports,No,2,3
105,Biochemistry,Biology,6,1,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,7,Sports:Programming:Volunteering Work:Fishing:Modelling:Friend Circle in the University,Yes,4,2.5
106,Latin,Mathematics,6,2,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides,No,Yes,3,Volunteering Work:Fishing:Sports,Yes,2,4
107,Probability and Statistics,Languages,8,7,Internet Resources(Videos Articles):Notes,Yes,No,10+,Programming:Sports:Fishing:Friend Circle in the University:Modelling,Yes,1,3.5
108,Biochemistry,Languages,4,4,Lecture Slides:Books-Recommended,Yes,No,4,Volunteering Work:Programming:Friend Circle in the University,No,4,1.5
109,English,Chemistry,6,0,Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles),Yes,No,5,Programming:Fishing:Friend Circle in the University:Volunteering Work,No,3,3.5
110,Biochemistry,Languages,2,9,Internet Resources(Videos Articles),NA,Yes,3,Sports:Programming:Modelling:Volunteering Work,No,2,4
111,Databases,Chemistry,9,2,Books-Recommended:Notes,NA,No,6,Programming:Fishing:Volunteering Work:Friend Circle in the University:Modelling:Sports,No,2,1.5
112,Organic Chemistry,Chemistry,10,3,Lecture Slides,Prefer not to Say,No,4,Sports:Volunteering Work:Modelling:Fishing:Programming:Friend Circle in the University,No,3,1
113,Functional Programming,Languages,3,10+,Books-Out Of Course:Lecture Slides:Books-Recommended:Notes,No,No,4,Sports:Friend Circle in the University:Modelling:Fishing,No,1,2
114,Mandarin,Biology,4,9,Internet Resources(Videos Articles):Notes:Books-Out Of Course,Yes,Yes,2,Friend Circle in the University:Modelling:Fishing:Volunteering Work,Yes,1,3
115,Mandarin,Languages,1,0,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Notes,Prefer not to Say,Yes,4,Modelling:Volunteering Work:Fishing,No,1,2.5
116,Genetics,Languages,8,7,Internet Resources(Videos Articles):Books-Recommended,Yes,No,7,Fishing:Modelling,No,2,2.5
117,Linear Algebra,Chemistry,8,7,Lecture Slides,No,No,2,Programming,Yes,4,1.5
118,Latin,Mathematics,8,9,Lecture Slides,Prefer not to Say,No,2,Volunteering Work:Sports,Yes,2,1.5
119,English,Biology,4,8,Internet Resources(Videos Articles):Notes,NA,No,8,Friend Circle in the University,No,4,4
120,Mandarin,Biology,4,1,Books-Out Of Course:Notes,No,No,5,Modelling:Friend Circle in the University,No,1,3
121,Databases,Languages,1,6,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,0,Friend Circle in the University:Programming:Sports:Modelling:Fishing:Volunteering Work,No,4,1.5
122,Biochemistry,Biology,6,5,Internet Resources(Videos Articles),No,Yes,10+,Fishing:Friend Circle in the University:Programming:Modelling:Volunteering Work:Sports,No,4,2
123,Latin,Mathematics,10,7,Books-Out Of Course:Internet Resources(Videos Articles),No,No,5,Programming:Sports:Volunteering Work:Fishing:Friend Circle in the University,No,4,4
124,Biochemistry,History,10,2,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course:Books-Recommended,Yes,Yes,8,Fishing:Programming:Friend Circle in the University,No,1,3.5
125,Biochemistry,History,7,2,Lecture Slides,No,No,3,Friend Circle in the University:Programming:Fishing:Sports:Volunteering Work:Modelling,Yes,2,2.5
126,Biochemistry,Biology,5,0,Books-Out Of Course:Notes:Books-Recommended,No,No,1,Modelling:Fishing:Programming:Sports:Volunteering Work:Friend Circle in the University,Yes,2,1.5
127,Genetics,Languages,4,6,Lecture Slides:Internet Resources(Videos Articles):Notes,No,Yes,4,Fishing:Programming:Modelling:Sports:Volunteering Work,No,3,2.5
128,English,Chemistry,0,4,Internet Resources(Videos Articles):Notes:Books-Out Of Course,No,No,1,Volunteering Work:Friend Circle in the University:Modelling:Programming:Fishing,No,2,1.5
129,Mandarin,Chemistry,6,8,Books-Recommended,Yes,No,4,Fishing:Friend Circle in the University:Volunteering Work:Modelling:Programming,Yes,4,4
130,Genetics,Biology,8,9,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,2,Sports:Programming,Yes,4,3
131,Genetics,Computer Science,2,1,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Yes,No,10+,Sports:Modelling:Friend Circle in the University:Programming:Fishing,Yes,4,3.5
132,Organic Chemistry,Languages,8,3,Lecture Slides,Yes,No,5,Modelling,No,4,2
133,Organic Chemistry,Computer Science,10,10+,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Prefer not to Say,No,4,Modelling:Programming:Fishing:Volunteering Work:Sports:Friend Circle in the University,No,3,1
134,Genetics,Languages,1,0,Books-Out Of Course,NA,No,10+,Volunteering Work:Programming:Sports,No,3,2.5
135,Probability and Statistics,Computer Science,0,2,Notes,No,No,10+,Sports,No,3,2.5
136,English,Computer Science,3,1,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes:Books-Recommended,Yes,Yes,4,Friend Circle in the University:Modelling:Fishing:Programming:Volunteering Work:Sports,Yes,2,2.5
137,Probability and Statistics,Biology,10,1,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Recommended,No,No,4,Sports:Programming:Modelling:Friend Circle in the University:Fishing,Yes,2,1
138,Mandarin,Languages,6,3,Lecture Slides,Prefer not to Say,No,2,Sports:Modelling,Yes,1,1.5
139,Databases,Languages,10,2,Lecture Slides,Prefer not to Say,Yes,9,Modelling,Yes,2,2
140,Linear Algebra,Biology,5,8,Books-Out Of Course:Lecture Slides,Yes,Yes,3,Volunteering Work:Sports:Modelling:Programming:Friend Circle in the University:Fishing,Yes,1,1.5
141,Organic Chemistry,Biology,4,0,Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,6,Friend Circle in the University:Volunteering Work:Sports:Programming:Fishing,No,3,3
142,Mandarin,Chemistry,1,7,Notes,Yes,No,9,Friend Circle in the University:Fishing,No,1,3.5
143,Databases,Mathematics,3,4,Internet Resources(Videos Articles),NA,Yes,3,Friend Circle in the University:Fishing:Sports:Modelling:Volunteering Work:Programming,No,4,1
144,Organic Chemistry,History,8,7,Lecture Slides,Prefer not to Say,No,9,Volunteering Work:Friend Circle in the University:Modelling:Programming,No,4,1.5
145,Functional Programming,Mathematics,0,2,Books-Out Of Course:Books-Recommended,NA,No,7,Programming:Friend Circle in the University:Volunteering Work:Sports:Modelling:Fishing,Yes,1,4
146,Mandarin,Chemistry,6,0,Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,No,9,Volunteering Work:Friend Circle in the University:Fishing:Sports:Modelling,No,2,4
147,Mandarin,Languages,8,7,Internet Resources(Videos Articles):Lecture Slides:Notes,Yes,No,4,Fishing:Modelling:Sports:Programming:Volunteering Work,No,3,2
148,Functional Programming,Languages,7,9,Books-Out Of Course:Lecture Slides,Yes,No,10+,Friend Circle in the University:Modelling,No,3,1
149,Latin,History,9,9,Books-Recommended,Prefer not to Say,No,3,Friend Circle in the University:Fishing,No,1,1.5
150,English,Biology,9,6,Internet Resources(Videos Articles):Notes:Books-Recommended,NA,No,1,Sports,No,3,2
151,Functional Programming,Computer Science,2,10+,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Yes,Yes,2,Friend Circle in the University:Programming:Sports:Volunteering Work:Modelling,No,1,4
152,Biochemistry,Mathematics,1,10+,Books-Recommended:Internet Resources(Videos Articles),No,Yes,4,Volunteering Work:Sports:Fishing:Modelling:Programming:Friend Circle in the University,No,1,4
153,Linear Algebra,Chemistry,5,9,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,0,Fishing:Programming:Volunteering Work:Sports:Modelling:Friend Circle in the University,Yes,3,3
154,Mandarin,History,0,3,Internet Resources(Videos Articles),NA,Yes,1,Modelling:Friend Circle in the University:Sports:Programming:Fishing,No,1,1
155,Linear Algebra,Mathematics,2,3,Books-Out Of Course:Notes:Lecture Slides,Prefer not to Say,No,10+,Volunteering Work:Sports,Yes,2,3.5
156,Databases,History,0,0,Books-Recommended:Notes,Prefer not to Say,Yes,9,Programming:Modelling:Volunteering Work:Fishing:Sports,No,4,4
157,Mandarin,Biology,2,9,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Books-Recommended,No,No,10+,Volunteering Work:Sports:Modelling:Fishing:Friend Circle in the University:Programming,Yes,2,2
158,Biochemistry,Chemistry,2,5,Notes:Books-Recommended,Yes,No,9,Modelling:Fishing:Programming:Volunteering Work:Sports:Friend Circle in the University,Yes,3,1
159,English,Computer Science,9,6,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,NA,Yes,2,Friend Circle in the University:Modelling:Fishing:Programming:Sports,Yes,2,3
160,Linear Algebra,Mathematics,6,5,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,2,Volunteering Work:Programming,No,3,1
161,Functional Programming,History,0,0,Notes:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,3,Friend Circle in the University:Volunteering Work:Fishing,No,2,1
162,Databases,Mathematics,6,1,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,Yes,Yes,9,Modelling:Sports:Friend Circle in the University:Fishing:Volunteering Work:Programming,Yes,2,4
163,Organic Chemistry,Languages,8,7,Notes:Books-Out Of Course,No,No,9,Programming:Fishing,Yes,3,2.5
164,Linear Algebra,Mathematics,3,4,Lecture Slides:Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,5,Programming:Modelling:Volunteering Work:Sports,Yes,3,1
165,Probability and Statistics,Computer Science,0,2,Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,Yes,5,Sports:Programming:Friend Circle in the University:Fishing:Modelling:Volunteering Work,Yes,1,4
166,Functional Programming,Mathematics,1,4,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,Yes,3,Modelling:Sports,Yes,3,1
167,Mandarin,Mathematics,1,0,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Lecture Slides:Books-Recommended,No,No,7,Programming:Volunteering Work:Friend Circle in the University:Sports,No,1,2
168,Mandarin,Computer Science,8,2,Books-Out Of Course:Lecture Slides,Yes,Yes,1,Programming:Friend Circle in the University:Fishing:Modelling:Volunteering Work,Yes,3,4
