studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Mandarin,Chemistry,0,8,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Books-Recommended:Lecture Slides,No,No,9,Sports:Fishing:Modelling:Volunteering Work:Programming,No,3,1
Biochemistry,Chemistry,8,10+,Books-Out Of Course:Lecture Slides:Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,5,Sports:Friend Circle in the University:Programming:Fishing:Modelling:Volunteering Work,Yes,2,2
Organic Chemistry,History,2,2,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,No,No,5,Modelling:Friend Circle in the University:Sports:Volunteering Work:Fishing,Yes,1,1
English,History,8,2,Notes:Books-Out Of Course:Books-Recommended,,No,5,Sports:Friend Circle in the University:Fishing,No,4,3
Databases,History,6,1,Internet Resources(Videos Articles),,No,7,Volunteering Work:Sports:Friend Circle in the University:Fishing:Modelling:Programming,Yes,1,1.5
Genetics,Chemistry,7,2,Notes,Yes,Yes,10+,Fishing:Sports:Friend Circle in the University:Modelling:Programming,No,1,3.5
English,History,7,1,Notes:Books-Out Of Course:Books-Recommended:Lecture Slides,,No,8,Friend Circle in the University:Programming:Sports:Fishing:Modelling,No,4,2
Linear Algebra,History,10,2,Books-Recommended:Books-Out Of Course:Lecture Slides,No,No,8,Friend Circle in the University:Fishing:Modelling:Sports:Volunteering Work:Programming,No,3,1.5
Databases,History,8,4,Internet Resources(Videos Articles):Books-Out Of Course:Notes:Books-Recommended:Lecture Slides,No,Yes,6,Programming:Volunteering Work:Fishing:Modelling:Sports,No,1,3
Latin,Mathematics,9,4,Lecture Slides:Books-Out Of Course:Notes:Books-Recommended,No,No,9,Programming:Fishing:Volunteering Work:Friend Circle in the University,No,4,2.5
Functional Programming,Mathematics,8,10+,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,,Yes,6,Volunteering Work:Programming:Modelling:Sports,No,3,1
English,History,2,8,Notes:Lecture Slides:Books-Out Of Course:Books-Recommended,,Yes,6,Fishing:Sports:Volunteering Work:Modelling:Programming,Yes,3,4
Functional Programming,Languages,2,9,Books-Recommended:Lecture Slides,,Yes,6,Volunteering Work:Programming:Fishing:Modelling:Friend Circle in the University:Sports,No,3,4
English,Mathematics,0,2,Lecture Slides,Yes,No,2,Modelling:Fishing,No,1,1.5
Databases,Chemistry,5,10+,Books-Recommended,Prefer not to Say,No,4,Sports:Modelling:Fishing,Yes,1,1
Functional Programming,Chemistry,5,10+,Books-Recommended:Books-Out Of Course:Notes,Yes,Yes,6,Sports:Friend Circle in the University:Modelling:Fishing,Yes,3,1.5
Probability and Statistics,Biology,6,4,Lecture Slides:Books-Recommended:Books-Out Of Course,No,Yes,9,Friend Circle in the University,Yes,3,2.5
Genetics,Chemistry,6,5,Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,1,Volunteering Work:Modelling:Sports:Friend Circle in the University:Fishing:Programming,No,1,4
Organic Chemistry,Languages,4,3,Notes:Lecture Slides:Books-Out Of Course:Books-Recommended,,No,1,Sports:Friend Circle in the University,Yes,3,1
Probability and Statistics,Languages,1,2,Books-Recommended,,No,8,Volunteering Work:Friend Circle in the University:Sports:Programming:Fishing,No,1,3
Mandarin,History,10,5,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course:Books-Recommended,Yes,No,3,Fishing:Programming:Sports:Modelling:Friend Circle in the University,No,1,1.5
Latin,History,3,8,Books-Out Of Course,No,No,5,Programming:Fishing:Sports,Yes,1,1
Genetics,Languages,4,0,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course,Yes,No,5,Modelling:Sports,Yes,3,1
Linear Algebra,Languages,8,7,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,Yes,3,Volunteering Work,No,2,1
Mandarin,Mathematics,1,3,Notes,Prefer not to Say,No,7,Friend Circle in the University:Sports:Programming:Fishing:Volunteering Work,No,2,2.5
Organic Chemistry,Mathematics,10,1,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Yes,No,9,Volunteering Work:Friend Circle in the University,No,3,1
Probability and Statistics,Languages,2,6,Lecture Slides:Internet Resources(Videos Articles):Notes,No,Yes,5,Friend Circle in the University:Modelling:Sports:Volunteering Work:Fishing:Programming,No,2,4
Biochemistry,Chemistry,1,0,Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,Prefer not to Say,Yes,9,Friend Circle in the University:Sports:Volunteering Work:Programming:Fishing,Yes,1,1.5
Genetics,History,7,6,Books-Recommended:Notes:Internet Resources(Videos Articles),,Yes,3,Volunteering Work:Modelling:Sports:Friend Circle in the University:Fishing,Yes,4,2
Genetics,Chemistry,3,6,Books-Recommended,Prefer not to Say,Yes,1,Fishing:Programming:Sports:Modelling:Friend Circle in the University:Volunteering Work,No,1,3
Linear Algebra,Languages,7,5,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,No,No,4,Friend Circle in the University:Programming,Yes,1,1.5
Biochemistry,History,7,3,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes,,Yes,7,Modelling:Friend Circle in the University:Fishing:Volunteering Work:Sports:Programming,Yes,3,4
English,Mathematics,1,10+,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course,Yes,No,6,Modelling:Fishing:Volunteering Work:Sports:Programming:Friend Circle in the University,No,1,1.5
Probability and Statistics,History,7,9,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes:Lecture Slides,Prefer not to Say,Yes,7,Friend Circle in the University:Modelling:Sports,Yes,1,2
Biochemistry,Biology,7,9,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,,No,6,Programming:Volunteering Work:Friend Circle in the University:Sports:Fishing:Modelling,Yes,3,2.5
Probability and Statistics,Chemistry,5,10+,Books-Out Of Course,Yes,Yes,8,Volunteering Work:Fishing:Friend Circle in the University,No,1,3.5
Biochemistry,Mathematics,3,3,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,1,Programming,No,1,2.5
Functional Programming,Chemistry,5,7,Books-Recommended:Notes,No,No,7,Modelling,Yes,3,4
Organic Chemistry,Mathematics,9,4,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Prefer not to Say,Yes,8,Volunteering Work:Modelling,No,1,2
Databases,Computer Science,6,4,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Recommended,Prefer not to Say,No,8,Volunteering Work:Modelling:Fishing:Sports:Programming:Friend Circle in the University,Yes,1,2.5
English,Mathematics,7,5,Lecture Slides,,No,6,Modelling:Fishing:Friend Circle in the University:Sports:Volunteering Work:Programming,No,2,3.5
Probability and Statistics,Chemistry,0,10+,Books-Recommended,,Yes,8,Modelling:Volunteering Work:Friend Circle in the University:Fishing:Sports,Yes,2,2
English,Computer Science,5,3,Lecture Slides:Books-Out Of Course:Notes:Books-Recommended,No,Yes,0,Sports,No,4,2
Probability and Statistics,Mathematics,3,6,Internet Resources(Videos Articles):Books-Recommended,Yes,No,0,Fishing,Yes,4,2.5
Organic Chemistry,History,3,0,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,Yes,Yes,2,Programming:Volunteering Work:Fishing:Modelling:Sports,No,4,1.5
Latin,Computer Science,7,3,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Books-Out Of Course,Prefer not to Say,No,5,Sports:Friend Circle in the University:Programming,No,3,1.5
Linear Algebra,Languages,8,5,Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,9,Modelling:Fishing:Volunteering Work,Yes,1,2.5
Latin,Languages,6,5,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,No,No,7,Friend Circle in the University:Volunteering Work:Sports:Modelling:Programming:Fishing,Yes,4,4
Functional Programming,Mathematics,6,9,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,No,No,10+,Volunteering Work:Sports:Friend Circle in the University,Yes,4,3.5
Mandarin,Biology,1,10+,Notes:Books-Out Of Course,No,No,7,Volunteering Work:Sports,No,2,3.5
Genetics,Languages,10,4,Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,,Yes,10+,Modelling,Yes,1,3.5
Probability and Statistics,Languages,2,8,Books-Out Of Course,Yes,No,5,Modelling,Yes,3,3.5
Genetics,Mathematics,10,9,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,No,No,9,Friend Circle in the University:Programming:Fishing:Modelling:Volunteering Work:Sports,Yes,3,1.5
Genetics,History,8,2,Internet Resources(Videos Articles):Books-Recommended,,Yes,3,Friend Circle in the University,Yes,2,2
Mandarin,Mathematics,10,10+,Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,Prefer not to Say,No,8,Fishing:Modelling:Friend Circle in the University,No,3,3
Organic Chemistry,Biology,2,8,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended:Books-Out Of Course,,No,7,Sports:Friend Circle in the University:Programming:Modelling:Volunteering Work,Yes,4,4
Probability and Statistics,Chemistry,5,4,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course,Prefer not to Say,Yes,10+,Sports:Friend Circle in the University:Programming:Volunteering Work,Yes,2,4
Databases,Computer Science,0,7,Lecture Slides:Books-Out Of Course:Books-Recommended,No,No,0,Fishing:Sports:Volunteering Work:Programming:Friend Circle in the University,No,1,2
Mandarin,Languages,8,3,Books-Out Of Course:Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),Yes,Yes,2,Sports:Friend Circle in the University:Programming:Fishing:Modelling,No,3,1.5
Mandarin,Mathematics,4,9,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,Yes,No,0,Fishing:Friend Circle in the University:Programming:Sports:Volunteering Work,Yes,3,2
Organic Chemistry,Mathematics,3,4,Internet Resources(Videos Articles):Books-Out Of Course:Notes,,Yes,5,Fishing:Programming:Volunteering Work:Sports,No,3,3.5
Functional Programming,Mathematics,1,4,Notes:Internet Resources(Videos Articles),Yes,Yes,6,Fishing:Volunteering Work:Modelling:Sports,Yes,4,1
Mandarin,Biology,2,1,Notes:Books-Recommended:Lecture Slides,Yes,No,0,Modelling:Sports:Friend Circle in the University:Fishing:Programming:Volunteering Work,Yes,4,1.5
Functional Programming,Biology,10,3,Notes,Yes,No,2,Fishing:Friend Circle in the University:Sports,Yes,2,1.5
Databases,Biology,10,10+,Books-Recommended:Lecture Slides,Yes,No,3,Modelling:Fishing:Programming:Volunteering Work:Sports:Friend Circle in the University,Yes,4,1
Databases,Chemistry,4,8,Books-Recommended:Lecture Slides,Prefer not to Say,Yes,9,Sports:Friend Circle in the University,No,1,4
Mandarin,History,2,8,Notes,No,No,0,Volunteering Work:Programming,No,2,2.5
Functional Programming,Languages,6,5,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Yes,No,2,Fishing,No,1,2.5
Genetics,History,9,5,Internet Resources(Videos Articles),,Yes,6,Friend Circle in the University:Volunteering Work:Modelling,Yes,2,2
Databases,Computer Science,1,7,Notes,Prefer not to Say,No,1,Volunteering Work:Modelling:Friend Circle in the University:Fishing,Yes,2,2
Genetics,Languages,9,6,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),No,No,9,Friend Circle in the University:Sports:Programming:Fishing:Volunteering Work,No,3,1.5
Functional Programming,History,0,0,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Books-Recommended,,No,7,Programming:Sports:Volunteering Work:Modelling:Fishing,No,2,4
Biochemistry,Mathematics,7,6,Notes:Internet Resources(Videos Articles),Yes,Yes,9,Sports:Fishing:Friend Circle in the University,No,3,1.5
Organic Chemistry,Biology,1,5,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,0,Volunteering Work:Friend Circle in the University:Sports,No,1,2.5
Probability and Statistics,Mathematics,0,7,Books-Out Of Course:Notes:Books-Recommended,Yes,No,7,Modelling:Friend Circle in the University:Programming:Fishing:Sports,Yes,4,1.5
English,Languages,7,9,Books-Out Of Course,No,Yes,9,Sports:Modelling:Fishing:Volunteering Work:Programming,No,2,4
Biochemistry,Languages,8,8,Lecture Slides,No,Yes,4,Friend Circle in the University:Volunteering Work:Programming:Fishing,Yes,1,2
Databases,Computer Science,4,5,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,Yes,4,Sports:Programming,No,3,2
Databases,Mathematics,6,5,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,Yes,No,6,Fishing:Friend Circle in the University:Modelling,No,2,1
Functional Programming,Biology,0,10+,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,No,No,3,Friend Circle in the University:Programming:Sports:Volunteering Work:Fishing,Yes,2,1.5
Latin,Mathematics,6,10+,Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,8,Friend Circle in the University:Sports:Volunteering Work:Modelling:Fishing:Programming,No,2,1
Biochemistry,Chemistry,5,5,Notes,Yes,Yes,8,Sports:Modelling:Volunteering Work:Friend Circle in the University:Programming:Fishing,Yes,1,1.5
Latin,Chemistry,10,0,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),,No,6,Friend Circle in the University:Fishing,No,3,2.5
Genetics,Computer Science,4,0,Notes:Books-Recommended:Lecture Slides,Yes,Yes,10+,Friend Circle in the University:Sports:Volunteering Work:Modelling:Fishing,No,3,3.5
Genetics,Mathematics,3,0,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes,,No,6,Modelling,Yes,4,3.5
English,Mathematics,3,10+,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),,No,2,Modelling:Friend Circle in the University,No,3,3
Biochemistry,Computer Science,0,8,Internet Resources(Videos Articles):Books-Out Of Course:Notes,Prefer not to Say,Yes,5,Volunteering Work:Fishing:Programming:Modelling,No,2,3.5
Organic Chemistry,Mathematics,9,6,Notes,No,No,1,Friend Circle in the University:Volunteering Work:Fishing:Sports:Modelling,No,3,4
Probability and Statistics,Mathematics,5,7,Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,7,Volunteering Work,Yes,2,2
Mandarin,Chemistry,2,5,Lecture Slides:Notes,,No,8,Friend Circle in the University,Yes,3,1.5
Mandarin,History,8,4,Books-Recommended,Yes,Yes,5,Fishing:Programming:Volunteering Work:Sports,Yes,2,3.5
Linear Algebra,Computer Science,6,2,Notes,Prefer not to Say,No,2,Programming,Yes,2,1
Databases,Biology,4,0,Lecture Slides:Notes,,Yes,1,Volunteering Work:Fishing:Modelling,Yes,3,2
Probability and Statistics,Chemistry,10,10+,Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,No,6,Fishing:Sports:Programming:Modelling:Friend Circle in the University:Volunteering Work,No,3,3
Biochemistry,History,10,8,Internet Resources(Videos Articles),Prefer not to Say,Yes,0,Fishing:Friend Circle in the University:Sports,No,3,3.5
Organic Chemistry,Languages,2,0,Notes:Books-Recommended:Lecture Slides,,No,6,Sports:Programming:Friend Circle in the University,No,2,3.5
Organic Chemistry,Chemistry,5,2,Notes:Books-Out Of Course,No,No,4,Sports,Yes,2,2.5
Functional Programming,Chemistry,2,3,Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,Prefer not to Say,No,8,Modelling:Sports:Friend Circle in the University:Programming,Yes,4,1.5
Linear Algebra,Chemistry,9,4,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes,Prefer not to Say,No,3,Volunteering Work:Modelling,Yes,2,1
Linear Algebra,History,10,3,Books-Out Of Course,,No,4,Sports,No,3,3.5
Genetics,Computer Science,2,6,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,2,Fishing:Modelling:Friend Circle in the University:Sports:Programming:Volunteering Work,Yes,2,1
Linear Algebra,Biology,1,0,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,4,Volunteering Work:Programming:Modelling:Friend Circle in the University:Fishing,No,3,2.5
Mandarin,Mathematics,4,3,Internet Resources(Videos Articles),Yes,No,5,Fishing:Modelling:Sports,Yes,2,3
Functional Programming,History,8,0,Lecture Slides,,No,7,Friend Circle in the University:Modelling,Yes,4,4
Databases,Chemistry,5,3,Books-Out Of Course,No,Yes,1,Fishing:Modelling:Programming:Friend Circle in the University:Sports,No,1,3
Biochemistry,Languages,6,2,Books-Recommended:Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides,Yes,Yes,9,Friend Circle in the University:Programming:Volunteering Work,No,3,4
Linear Algebra,Biology,5,8,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes:Lecture Slides,,No,1,Fishing:Modelling:Sports:Friend Circle in the University:Programming:Volunteering Work,Yes,4,1.5
Genetics,Biology,8,5,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Notes,No,Yes,10+,Sports:Modelling:Volunteering Work,Yes,4,4
Databases,Biology,10,4,Books-Out Of Course,Prefer not to Say,No,4,Modelling:Friend Circle in the University:Programming,No,1,2.5
Genetics,Mathematics,5,6,Internet Resources(Videos Articles):Notes,No,Yes,4,Friend Circle in the University:Fishing:Sports:Programming,No,4,3.5
English,Biology,0,9,Notes:Lecture Slides:Books-Recommended,,Yes,8,Friend Circle in the University:Programming:Sports:Modelling:Volunteering Work:Fishing,Yes,3,2
Latin,Computer Science,9,0,Notes,Yes,Yes,2,Programming:Sports,No,4,2
English,Chemistry,8,10+,Books-Recommended:Notes,,Yes,4,Fishing:Volunteering Work:Modelling:Programming:Friend Circle in the University,No,4,4
Genetics,History,7,10+,Internet Resources(Videos Articles):Books-Recommended,No,Yes,5,Fishing:Programming:Friend Circle in the University:Volunteering Work:Modelling:Sports,Yes,4,1
English,Mathematics,2,4,Internet Resources(Videos Articles):Notes,No,No,8,Sports:Friend Circle in the University:Modelling:Fishing:Volunteering Work:Programming,No,1,2
Biochemistry,Mathematics,6,5,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,,No,6,Volunteering Work:Modelling,No,1,2.5
English,Chemistry,4,0,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides,No,Yes,2,Modelling:Fishing:Programming,Yes,4,1
Mandarin,Biology,8,5,Internet Resources(Videos Articles),Prefer not to Say,Yes,1,Modelling:Fishing:Programming,No,4,1
English,Biology,8,9,Notes,Yes,Yes,3,Sports:Friend Circle in the University:Modelling:Volunteering Work:Programming,Yes,1,1.5
Databases,Computer Science,7,0,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,2,Volunteering Work:Friend Circle in the University:Modelling:Fishing:Sports,Yes,3,1.5
Latin,Mathematics,2,10+,Books-Out Of Course:Notes,No,Yes,8,Volunteering Work:Modelling:Fishing:Friend Circle in the University,No,3,3
Functional Programming,Chemistry,10,7,Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,No,2,Programming:Sports:Modelling:Volunteering Work:Fishing:Friend Circle in the University,Yes,3,1.5
Biochemistry,Languages,9,0,Books-Out Of Course:Lecture Slides,Yes,Yes,9,Friend Circle in the University:Fishing:Volunteering Work,Yes,1,2.5
Genetics,Computer Science,8,8,Internet Resources(Videos Articles),Yes,Yes,7,Friend Circle in the University:Volunteering Work:Modelling,Yes,1,2
Linear Algebra,Mathematics,0,10+,Internet Resources(Videos Articles),No,Yes,9,Sports:Programming:Modelling:Fishing,No,2,3
Mandarin,Computer Science,8,8,Lecture Slides:Books-Recommended:Books-Out Of Course:Notes:Internet Resources(Videos Articles),Yes,Yes,8,Volunteering Work,No,3,4
Genetics,Languages,6,7,Books-Recommended:Books-Out Of Course,,No,3,Sports,Yes,4,2
Mandarin,Languages,3,2,Books-Recommended:Notes:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,4,Volunteering Work:Friend Circle in the University,No,2,2
Latin,History,6,4,Books-Out Of Course,,Yes,4,Sports:Volunteering Work:Friend Circle in the University:Programming:Fishing,No,4,4
Linear Algebra,Computer Science,10,9,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,Yes,4,Sports:Volunteering Work,No,3,4
Databases,History,9,3,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides:Books-Out Of Course,No,No,4,Volunteering Work:Programming:Friend Circle in the University:Fishing:Sports:Modelling,Yes,1,1.5
Probability and Statistics,Chemistry,3,7,Lecture Slides:Books-Recommended,,Yes,6,Fishing,Yes,4,2
Organic Chemistry,Biology,5,5,Internet Resources(Videos Articles):Notes,Prefer not to Say,No,0,Modelling:Friend Circle in the University:Volunteering Work:Programming,No,1,2
Organic Chemistry,Chemistry,4,6,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),Yes,Yes,6,Fishing,Yes,4,2.5
Linear Algebra,Mathematics,0,0,Books-Out Of Course:Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,No,Yes,8,Programming:Modelling:Friend Circle in the University,Yes,1,2.5
Organic Chemistry,Languages,7,8,Books-Out Of Course:Books-Recommended,Yes,Yes,6,Fishing:Volunteering Work:Programming:Modelling:Friend Circle in the University,Yes,4,2
Mandarin,History,5,7,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,,Yes,4,Fishing:Sports:Modelling:Friend Circle in the University:Volunteering Work,Yes,4,2
Databases,Computer Science,0,3,Books-Recommended:Lecture Slides,,Yes,4,Sports:Modelling,No,4,3
English,History,0,10+,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,5,Modelling,Yes,4,1.5
Biochemistry,Chemistry,3,6,Internet Resources(Videos Articles):Notes:Lecture Slides,No,No,1,Sports:Friend Circle in the University:Fishing:Modelling:Programming:Volunteering Work,No,2,1.5
Mandarin,Languages,7,8,Lecture Slides:Notes,,Yes,10+,Modelling:Programming:Volunteering Work,No,4,3.5
English,Biology,0,4,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),No,Yes,9,Fishing:Sports:Modelling:Programming:Volunteering Work,No,4,1
Genetics,Mathematics,2,3,Notes:Internet Resources(Videos Articles):Books-Recommended,,No,9,Modelling:Programming,No,4,1.5
Latin,Mathematics,8,1,Internet Resources(Videos Articles),,Yes,9,Sports:Modelling:Fishing:Programming:Volunteering Work,Yes,1,4
Linear Algebra,Biology,4,9,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,Prefer not to Say,Yes,7,Volunteering Work:Fishing:Sports:Modelling:Programming,Yes,1,2.5
Biochemistry,Languages,5,5,Lecture Slides:Books-Recommended,Yes,Yes,7,Volunteering Work:Modelling:Programming:Fishing,No,1,4
Mandarin,History,2,5,Books-Out Of Course:Lecture Slides:Notes:Books-Recommended:Internet Resources(Videos Articles),,Yes,7,Volunteering Work:Sports:Programming:Friend Circle in the University,No,2,3.5
Genetics,Computer Science,7,4,Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,Prefer not to Say,No,10+,Sports:Friend Circle in the University:Programming:Volunteering Work:Modelling,No,1,2.5
Organic Chemistry,Mathematics,8,7,Books-Out Of Course,Prefer not to Say,Yes,3,Volunteering Work,No,3,4
Latin,Mathematics,9,7,Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,2,Volunteering Work:Programming,Yes,1,2
Latin,Biology,9,3,Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles),,No,7,Sports:Modelling:Fishing:Programming:Volunteering Work:Friend Circle in the University,No,1,3
Probability and Statistics,History,1,1,Notes:Books-Recommended,,No,0,Fishing:Modelling:Volunteering Work:Sports,No,4,1
Latin,Mathematics,9,0,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,No,Yes,10+,Volunteering Work:Fishing:Programming:Friend Circle in the University:Sports:Modelling,Yes,2,3.5
Organic Chemistry,Biology,10,0,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,,No,0,Programming:Sports,Yes,3,1.5
Databases,Computer Science,8,0,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,,No,4,Fishing:Modelling,No,3,2
Linear Algebra,History,0,4,Lecture Slides:Books-Out Of Course,No,No,7,Friend Circle in the University:Volunteering Work:Fishing:Modelling:Sports,No,2,3
Organic Chemistry,Chemistry,2,3,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,No,8,Modelling,No,2,1
Probability and Statistics,Chemistry,6,7,Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course:Lecture Slides,Prefer not to Say,No,8,Friend Circle in the University:Sports,Yes,4,3.5
Probability and Statistics,Languages,1,8,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,6,Modelling,No,3,2.5
